"Schub_x","Schub_y"
6.6328,77.0982,
6.6443,-84.1791,
6.656,120.9259,
6.6676,-66.6912,
6.6792,45.7927,
6.6908,86.5978,
6.7024,-45.1012,
6.714,152.4473,
6.7256,-97.1331,
6.7373,52.9174,
6.7489,-28.9087,
6.7605,-62.5891,
6.7721,69.9735,
6.7837,-127.7909,
6.7953,89.6204,
6.8069,-51.1464,
6.8185,36.509,
6.8301,31.1115,
6.8418,-91.9515,
6.8534,96.961,
6.8649,-149.3809,
6.8766,61.9852,
6.8882,-1.7053,
6.8998,-42.2945,
6.9114,70.4053,
6.923,-132.5407,
6.9346,104.3016,
6.9462,-94.3264,
6.9579,-19.1932,
6.9694,23.1232,
6.9811,-100.1557,
6.9927,121.3577,
7.0043,-123.6888,
7.0158,61.7693,
7.0275,-6.2392,
7.0391,-59.9983,
7.0507,104.7334,
7.0623,-101.4511,
7.0739,85.9501,
7.0855,-103.1783,
7.0971,2.8286,
7.1088,74.0756,
7.1204,-88.9289,
7.132,131.7209,
7.1436,-136.211,
7.1552,51.622,
7.1669,-10.5572,
7.1784,-54.8167,
7.1901,91.3476,
7.2017,-116.1323,
7.2133,143.3795,
7.2249,-54.169,
7.2365,28.7366,
7.2481,55.2923,
7.2597,-97.349,
7.2714,131.9368,
7.2829,-109.0076,
7.2946,95.4497,
7.3062,33.7023,
7.3178,-32.1472,
7.3294,115.3125,
7.341,-97.1331,
7.3527,118.3351,
7.3642,-59.9983,
7.3759,19.6688,
7.3875,66.5191,
7.3991,-82.6678,
7.4107,162.5946,
7.4223,-107.9281,
7.434,72.5643,
7.4455,9.3056,
7.4572,-76.8385,
7.4688,106.8924,
7.4804,-111.5984,
7.492,92.4271,
7.5036,-115.2687,
7.5152,-18.1137,
7.5268,49.0312,
7.5384,-124.7683,
7.5501,115.0966,
7.5617,-102.5306,
7.5733,47.0881,
7.5849,-7.5346,
7.5965,-47.0443,
7.6081,110.7786,
7.6197,-162.9826,
7.6314,127.6188,
7.643,-31.7154,
7.6546,-4.9438,
7.6662,79.9049,
7.6778,-69.9297,
7.6894,196.275,
7.701,-35.3857,
7.7126,124.8121,
7.7243,85.3024,
7.7359,25.714,
7.7475,214.1947,
7.759,34.35,
7.7707,318.2585,
7.7823,189.3662,
7.7939,272.9195,
7.8055,363.5975,
7.8171,194.5478,
7.8288,433.9809,
7.8403,188.2867,
7.852,445.4236,
7.8636,420.811,
7.8752,335.5305,
7.8868,557.2598,
7.8984,337.9054,
7.91,571.5092,
7.9216,450.1734,
7.9333,515.1593,
7.9449,637.3587,
7.9565,446.5031,
7.9681,693.2768,
7.9797,512.3526,
7.9913,687.6634,
8.0029,685.9362,
8.0145,626.7796,
8.0262,800.795,
8.0378,606.485,
8.0494,856.929,
8.061,725.4459,
8.0725,707.958,
8.0842,813.1013,
8.0958,676.4366,
8.1074,939.1869,
8.1191,714.8668,
8.1307,844.6227,
8.1423,835.9867,
8.1539,778.1255,
8.1655,953.6522,
8.1771,733.4342,
8.1888,999.2071,
8.2004,912.6312,
8.212,969.6288,
8.2236,1076.9311,
8.2352,870.7466,
8.2468,1125.0768,
8.2584,938.7551,
8.2701,1097.0098,
8.2816,1101.7596,
8.2933,1029.4331,
8.3049,1289.1608,
8.3165,1071.7495,
8.3281,1283.5474,
8.3397,1172.5748,
8.3513,1188.7673,
8.3629,1310.319,
8.3746,1119.8952,
8.3862,1394.9518,
8.3977,1211.4368,
8.4094,1368.8279,
8.421,1381.1342,
8.4326,1287.2177,
8.4442,1521.2533,
8.4559,1266.0595,
8.4674,1486.2775,
8.4791,1389.7702,
8.4907,1415.6782,
8.5023,1535.2868,
8.5139,1314.2052,
8.5255,1563.3538,
8.5371,1391.9292,
8.5487,1524.4918,
8.5604,1550.6157,
8.572,1492.7545,
8.5836,1739.0964,
8.5952,1529.2416,
8.6068,1737.3692,
8.6184,1651.441,
8.63,1684.9055,
8.6417,1860.0004,
8.6533,1711.2453,
8.6649,1973.7797,
8.6764,1842.7284,
8.6881,1974.4274,
8.6997,1991.2676,
8.7113,1863.023,
8.723,2134.1934,
8.7345,1918.2934,
8.7462,2134.1934,
8.7578,2059.492,
8.7694,2043.9472,
8.781,2202.6337,
8.7926,2037.4702,
8.8043,2296.1184,
8.8158,2150.17,
8.8275,2325.2649,
8.839,2374.4901,
8.8507,2252.5066,
8.8623,2499.0644,
8.8739,2302.3795,
8.8857,2511.1548,
8.8971,2460.6342,
8.9087,2465.5999,
8.9204,2621.2638,
8.932,2398.0232,
8.9436,2668.9777,
8.9552,2465.5999,
8.9668,2528.2109,
8.9784,2573.9817,
8.99,2425.6584,
9.0017,2656.4555,
9.0132,2458.4752,
9.0249,2658.1827,
9.0365,2572.2545,
9.0481,2527.995,
9.0597,2658.8304,
9.0713,2441.635,
9.0829,2649.5467,
9.0945,2526.4837,
9.1062,2621.6956,
9.1178,2663.5802,
9.1294,2517.8477,
9.141,2672.8639,
9.1526,2440.7714,
9.1642,2631.627,
9.1758,2595.5717,
9.1875,2524.1088,
9.1991,2662.7166,
9.2107,2438.1806,
9.2223,2635.0814,
9.2339,2460.6342,
9.2455,2541.5967,
9.2571,2592.1173,
9.2687,2445.953,
9.2804,2678.2614,
9.292,2473.1564,
9.3036,2644.7969,
9.3152,2553.903,
9.3268,2499.928,
9.3384,2608.3098,
9.35,2387.66,
9.3617,2636.8086,
9.3733,2455.8844,
9.3849,2524.9724,
9.3965,2551.3122,
9.4081,2397.8073,
9.4197,2631.627,
9.4313,2437.5329,
9.4429,2601.401,
9.4545,2558.4369,
9.4661,2467.9748,
9.4778,2626.4454,
9.4893,2420.045,
9.501,2621.6956,
9.5126,2446.8166,
9.5242,2470.1338,
9.5358,2523.677,
9.5474,2383.1261,
9.5591,2593.6286,
9.5706,2380.7512,
9.5823,2553.903,
9.5939,2473.5882,
9.6055,2393.4893,
9.6171,2570.9591,
9.6287,2309.936,
9.6403,2509.2117,
9.6519,2366.07,
9.6636,2392.4098,
9.6752,2461.7137,
9.6867,2303.8908,
9.6984,2552.1758,
9.71,2282.3008,
9.7216,2405.7956,
9.7332,2383.5579,
9.7448,2293.3117,
9.7565,2437.5329,
9.768,2229.1894,
9.7797,2450.7028,
9.7913,2288.1301,
9.8029,2352.9001,
9.8145,2436.4534,
9.8261,2205.6563,
9.8378,2453.7254,
9.8493,2252.2907,
9.8609,2366.7177,
9.8726,2367.7972,
9.8842,2293.5276,
9.8958,2423.2835,
9.9074,2206.9517,
9.919,2434.7262,
9.9306,2271.2899,
9.9422,2306.0498,
9.9538,2396.5119,
