0,1,2,3,4
$RQOBS,000003.3428,39308,3444,*4B
$RQOBS,000003.3544,39393,3385,*48
$RQOBS,000003.3660,39367,3513,*4F
$RQOBS,000003.3776,39356,3309,*46
$RQOBS,000003.3892,39469,3223,*41
$RQOBS,000003.4008,39409,3370,*4C
$RQOBS,000003.4124,39337,3349,*43
$RQOBS,000003.4240,39396,3424,*45
$RQOBS,000003.4356,39420,3378,*47
$RQOBS,000003.4472,39457,3469,*41
$RQOBS,000003.4588,39296,3388,*46
$RQOBS,000003.4704,39173,3418,*46
$RQOBS,000003.4820,39360,3375,*43
$RQOBS,000003.4936,39421,3232,*45
$RQOBS,000003.5052,39255,3247,*48
$RQOBS,000003.5168,39237,3215,*43
$RQOBS,000003.5284,39251,3316,*40
$RQOBS,000003.5400,39309,3346,*43
$RQOBS,000003.5516,39454,3437,*4B
$RQOBS,000003.5632,39442,3349,*47
$RQOBS,000003.5748,39322,3431,*42
$RQOBS,000003.5864,39269,3556,*4D
$RQOBS,000003.5980,39381,3510,*43
$RQOBS,000003.6096,39524,3480,*4F
$RQOBS,000003.6212,39500,3267,*48
$RQOBS,000003.6328,39297,3474,*4D
$RQOBS,000003.6445,39342,3415,*4F
$RQOBS,000003.6559,39365,3620,*42
$RQOBS,000003.6675,39365,3561,*49
$RQOBS,000003.6791,39316,3512,*42
$RQOBS,000003.6907,39257,3635,*41
$RQOBS,000003.7023,39258,3504,*41
$RQOBS,000003.7139,39196,3358,*45
$RQOBS,000003.7255,39153,3308,*40
$RQOBS,000003.7371,39265,3458,*43
$RQOBS,000003.7487,39323,3603,*42
$RQOBS,000003.7603,39325,3766,*48
$RQOBS,000003.7719,39318,3710,*4D
$RQOBS,000003.7835,39266,3703,*46
$RQOBS,000003.7951,39342,3524,*45
$RQOBS,000003.8067,39145,3344,*43
$RQOBS,000003.8183,39214,3352,*48
$RQOBS,000003.8299,39255,3365,*41
$RQOBS,000003.8415,39232,3354,*40
$RQOBS,000003.8531,39193,3397,*40
$RQOBS,000003.8647,39305,3666,*44
$RQOBS,000003.8763,39423,3662,*44
$RQOBS,000003.8879,39323,3371,*40
$RQOBS,000003.8995,39224,3341,*46
$RQOBS,000003.9111,39226,3280,*4D
$RQOBS,000003.9227,39364,3298,*45
$RQOBS,000003.9343,39295,3248,*44
$RQOBS,000003.9459,39339,3187,*4F
$RQOBS,000003.9575,39385,3245,*4A
$RQOBS,000003.9691,39343,3424,*48
$RQOBS,000003.9807,39360,3318,*40
$RQOBS,000003.9923,39328,3304,*46
$RQOBS,000004.0039,39333,3164,*44
$RQOBS,000004.0154,39389,3226,*4A
$RQOBS,000004.0271,39277,3313,*49
$RQOBS,000004.0387,39268,3265,*4F
$RQOBS,000004.0503,39299,3443,*49
$RQOBS,000004.0619,39319,3403,*4C
$RQOBS,000004.0734,39372,3345,*4A
$RQOBS,000004.0850,39316,3243,*42
$RQOBS,000004.0966,39288,3443,*46
$RQOBS,000004.1082,39285,3233,*48
$RQOBS,000004.1200,39240,3314,*4D
$RQOBS,000004.1315,39271,3290,*47
$RQOBS,000004.1430,39314,3347,*4E
$RQOBS,000004.1546,39311,3327,*4D
$RQOBS,000004.1662,39221,3292,*45
$RQOBS,000004.1778,39386,3237,*4C
$RQOBS,000004.1894,39361,3249,*41
$RQOBS,000004.2010,39420,3176,*4B
$RQOBS,000004.2126,39334,3309,*47
$RQOBS,000004.2242,39339,3399,*42
$RQOBS,000004.2358,39486,3214,*4F
$RQOBS,000004.2474,39370,3231,*4F
$RQOBS,000004.2590,39366,3528,*4C
$RQOBS,000004.2706,39424,3404,*4F
$RQOBS,000004.2822,39365,3456,*43
$RQOBS,000004.2938,39194,3388,*41
$RQOBS,000004.3054,39226,3287,*47
$RQOBS,000004.3170,39254,3280,*42
$RQOBS,000004.3286,39285,3286,*42
$RQOBS,000004.3402,39425,3279,*44
$RQOBS,000004.3518,39436,3329,*48
$RQOBS,000004.3634,39157,3266,*4D
$RQOBS,000004.3750,39124,3237,*4E
$RQOBS,000004.3866,39369,3343,*4D
$RQOBS,000004.3982,39312,3393,*47
$RQOBS,000004.4098,39253,3402,*49
$RQOBS,000004.4214,39371,3249,*47
$RQOBS,000004.4330,39412,2963,*40
$RQOBS,000004.4446,39313,3175,*4E
$RQOBS,000004.4562,39398,3348,*46
$RQOBS,000004.4678,39487,3272,*4F
$RQOBS,000004.4794,39315,3375,*46
$RQOBS,000004.4910,39256,3386,*4E
$RQOBS,000004.5026,39179,3349,*4E
$RQOBS,000004.5142,39138,3116,*40
$RQOBS,000004.5258,39222,2975,*4C
$RQOBS,000004.5374,39314,3116,*4B
$RQOBS,000004.5490,39381,3300,*4F
$RQOBS,000004.5605,39289,3358,*45
$RQOBS,000004.5722,39305,3206,*4E
$RQOBS,000004.5837,39233,3293,*4D
$RQOBS,000004.5953,39250,3217,*47
$RQOBS,000004.6069,39413,3414,*40
$RQOBS,000004.6185,39373,3423,*46
$RQOBS,000004.6301,39347,3151,*4F
$RQOBS,000004.6417,39349,2988,*4C
$RQOBS,000004.6533,39328,3124,*43
$RQOBS,000004.6649,39371,3413,*40
$RQOBS,000004.6765,39252,3402,*4F
$RQOBS,000004.6881,39413,3249,*40
$RQOBS,000004.6997,39429,3304,*47
$RQOBS,000004.7113,39365,3167,*4A
$RQOBS,000004.7229,39360,3300,*46
$RQOBS,000004.7345,39253,3470,*4C
$RQOBS,000004.7461,39313,3521,*4D
$RQOBS,000004.7577,39409,3232,*42
$RQOBS,000004.7693,39423,3162,*45
$RQOBS,000004.7809,39405,3149,*45
$RQOBS,000004.7925,39410,3124,*45
$RQOBS,000004.8041,39303,3101,*43
$RQOBS,000004.8157,39384,3206,*4E
$RQOBS,000004.8273,39256,3120,*42
$RQOBS,000004.8389,39178,2942,*44
$RQOBS,000004.8505,39382,3141,*4B
$RQOBS,000004.8621,39277,3272,*46
$RQOBS,000004.8737,39336,3389,*41
$RQOBS,000004.8853,39412,3220,*4F
$RQOBS,000004.8969,39329,3075,*4A
$RQOBS,000004.9085,39336,3136,*48
$RQOBS,000004.9201,39421,3156,*41
$RQOBS,000004.9317,39369,3262,*48
$RQOBS,000004.9433,39404,3351,*44
$RQOBS,000004.9549,39373,3217,*4C
$RQOBS,000004.9665,39329,2990,*4B
$RQOBS,000004.9781,39268,3140,*40
$RQOBS,000004.9897,39145,3118,*49
$RQOBS,000005.0013,39215,2991,*4B
$RQOBS,000005.0129,39420,3014,*46
$RQOBS,000005.0245,39464,3153,*4D
$RQOBS,000005.0361,39424,3235,*4D
$RQOBS,000005.0477,39400,3280,*45
$RQOBS,000005.0592,39414,3128,*4B
$RQOBS,000005.0709,39362,2987,*41
$RQOBS,000005.0825,39215,3195,*4B
$RQOBS,000005.0941,39117,3244,*46
$RQOBS,000005.1057,39292,3117,*42
$RQOBS,000005.1173,39428,3177,*44
$RQOBS,000005.1289,39353,3280,*42
$RQOBS,000005.1405,39172,3347,*4B
$RQOBS,000005.1521,39278,3308,*4E
$RQOBS,000005.1637,39329,3324,*41
$RQOBS,000005.1753,39280,3277,*47
$RQOBS,000005.1869,39384,3235,*42
$RQOBS,000005.1985,39239,3158,*4E
$RQOBS,000005.2101,39310,3279,*43
$RQOBS,000005.2217,39421,3224,*4A
$RQOBS,000005.2333,39397,3205,*44
$RQOBS,000005.2449,39256,3343,*41
$RQOBS,000005.2565,39275,3467,*4E
$RQOBS,000005.2681,39292,3296,*46
$RQOBS,000005.2797,39359,3044,*4B
$RQOBS,000005.2913,39442,3012,*47
$RQOBS,000005.3028,39391,3016,*4A
$RQOBS,000005.3144,39341,2973,*47
$RQOBS,000005.3260,39402,2995,*4A
$RQOBS,000005.3376,39425,3100,*4C
$RQOBS,000005.3492,39346,3104,*47
$RQOBS,000005.3608,39304,3138,*4F
$RQOBS,000005.3724,39311,3179,*41
$RQOBS,000005.3840,39308,3112,*49
$RQOBS,000005.3956,39343,3127,*46
$RQOBS,000005.4072,39352,3067,*4B
$RQOBS,000005.4188,39359,3184,*48
